Pesoh,Cinturah,,,,
36.35,66.75,,,,
36.45,62.5,,,,
46.6,70.5,,,,
59.7,82,,,,
29.95,59.45,,,,
65.65,86.1,,,,
57.25,71.3,,,,
56.05,82,,,,
66,85.3,,,,
31.025,62.5,,,,
28.075,53.15,,,,
35.3,75.1,,,,
40.075,60.25,,,,
50.7,74.6,,,,
57.9,83.3,,,,
41.4,66.5,,,,
56.35,86.1,,,,
50.35,72.35,,,,
52.75,87.85,,,,
57.5,78.1,,,,
65.3,84.6,,,,
40.025,64.95,,,,
27.625,58.3,,,,
43.8,73.9,,,,
51.55,73.2,,,,
26.3,52.3,,,,
35.65,60.35,,,,
66.5,83.2,,,,
63.125,83.4,,,,
31.325,59.45,,,,
65.715,85.5,,,,
66.45,92.8,,,,
81.8,101,,,,
41.25,78,,,,
48.75,72,,,,
34.55,66,,,,
62.9,68,,,,
52.6,74.5,,,,
41.8,65,,,,
42.65,77.1,,,,
39.675,64,,,,
50.8,66.2,,,,
40.3,63,,,,
57.1,76.1,,,,
45.125,66,,,,
38.45,60.9,,,,
45.8,80.85,,,,
25.775,54.4,,,,
62.2,71.7,,,,
67.5,87.55,,,,
49.95,64.2,,,,
24.9,53.5,,,,
39.1,61.5,,,,
43.8,59.8,,,,
28.575,57.15,,,,
29.125,63.15,,,,
36.35,67,,,,
53.2,68.85,,,,
49.9,79.65,,,,
48.6,75.35,,,,
52.75,88.45,,,,
39.75,63,,,,
49,70.25,,,,
28.1,55,,,,
41.7,73.3,,,,
70.5,86,,,,
60,88.15,,,,
36.525,60.5,,,,
43.875,72,,,,
51.75,68,,,,
33.15,54.8,,,,
63.9,94.7,,,,
86.05,104,,,,
76.6,84.8,,,,
49.445,67,,,,
49.8,67.5,,,,
77.2,85.9,,,,
73.85,91,,,,
57.9,80.7,,,,
43.625,82,,,,
39.35,91.5,,,,
61.25,73.35,,,,
72.65,86.9,,,,
49.5,77.45,,,,
42.3,72.35,,,,
36.2,68,,,,
37.5,62.7,,,,
34.175,60.05,,,,
45.975,74.4,,,,
54.5,70.5,,,,
41.75,61.6,,,,
76.05,84.3,,,,
57.9,76.1,,,,
88.15,108.5,,,,
58.65,74.5,,,,
68.1,73.5,,,,
32.8,64.8,,,,
25.3,60,,,,
27.85,63.8,,,,
72.6,91.15,,,,
61.5,77.4,,,,
84.6,102.1,,,,
53.9,77.6,,,,
67.4,80.6,,,,
32.9,61.4,,,,
107,130.05,,,,
68.2,80,,,,
32.625,66.6,,,,
73.3,91.6,,,,
62.75,82,,,,
23.25,50,,,,
52.4,76.35,,,,
65.7,79.15,,,,
54.2,72,,,,
39.8,62,,,,
69.8,91.5,,,,
30.85,55.3,,,,
52.9,85.5,,,,
34.475,59.75,,,,
69.45,80.25,,,,
55.1,84.15,,,,
38.875,65.4,,,,
59.45,75.2,,,,
29.55,54.8,,,,
62.8,84.5,,,,
38.75,57.55,,,,
24.95,56.7,,,,
35.725,69.05,,,,
34.25,61.8,,,,
26.9,53.1,,,,
70.9,93.5,,,,
58.3,76.65,,,,
53.6,73.35,,,,
44.95,79.05,,,,
56.95,71.25,,,,
59.65,77.45,,,,
59.95,79.75,,,,
65.3,93.1,,,,
64.45,87.2,,,,
57.8,75.1,,,,
31.85,57.9,,,,
75.7,96.1,,,,
59.2,75.3,,,,
33.05,66.8,,,,
35.4,65.7,,,,
55.5,92,,,,
74.65,96.2,,,,
75.2,96.2,,,,
41.85,64.5,,,,
51.4,66,,,,
35.9,65.3,,,,
59.75,75.5,,,,
51.7,80,,,,
62.2,98.5,,,,
64.05,79.25,,,,
38.7,68.3,,,,
39.2,66.5,,,,
36.7,64.5,,,,
31.4,60.3,,,,
53.7,78.4,,,,
66.6,80.1,,,,
30.025,63.5,,,,
65.7,84,,,,
29.15,53.6,,,,
64.4,77.4,,,,
65.35,87.9,,,,
54.15,71.55,,,,
63.9,75.1,,,,
52.35,71.1,,,,
54.6,82,,,,
34.725,62.05,,,,
60.85,76.9,,,,
52.35,71,,,,
88.6,103,,,,
55.7,73,,,,
50.15,66,,,,
64.9,84.55,,,,
42.45,65,,,,
79.4,97.5,,,,
30.5,61.75,,,,
27.85,60.8,,,,
44.5,68.95,,,,
57.4,76,,,,
74.8,90,,,,
54.65,76.25,,,,
48.125,76.55,,,,
73.55,91.15,,,,
44.9,68.8,,,,
38.275,65,,,,
49.925,71.9,,,,
36.95,63.05,,,,
54.4,78,,,,
58.1,81,,,,
49,79,,,,
71.2,86,,,,
36.2,67.75,,,,
49.7,69.5,,,,
56.15,81.25,,,,
33.825,63.05,,,,
70,91,,,,
50.05,86.2,,,,
99.8,106.2,,,,
32.225,64,,,,
48.95,82,,,,
54.4,66.6,,,,
64.35,85.45,,,,
40.7,67.4,,,,
61.4,73.3,,,,
50.3,70.1,,,,
30.1,58.5,,,,
61.2,80.6,,,,
44.15,72,,,,
61.3,74.55,,,,
64,85.5,,,,
120.45,127.1,,,,
45.15,82.3,,,,
56.5,73,,,,
60.4,73.35,,,,
62.75,81.3,,,,
37.5,65.1,,,,
61.35,85.55,,,,
58.05,82.25,,,,
51,72.7,,,,
41.975,60,,,,
46.625,66.9,,,,
61.05,91.1,,,,
49.3,64.15,,,,
38.6,59.1,,,,
57.9,81.3,,,,
46.3,67.2,,,,
57.55,79.85,,,,
67.7,95.95,,,,
30.875,57.3,,,,
88.6,108,,,,
54.7,88.6,,,,
84,97.4,,,,
39.425,67.6,,,,
