Pesom,Cinturam,,,,
34,61.65,,,,
39.345,88.25,,,,
59.825,,,,,
63.6,91.85,,,,
58.3,83.6,,,,
38.05,70.4,,,,
53,81.35,,,,
35.15,72.25,,,,
46.25,64.5,,,,
39.825,63.75,,,,
35.75,57.55,,,,
37.2,62.5,,,,
55.1,86.35,,,,
46.275,89.35,,,,
57.9,,,,,
83,101.1,,,,
56.3,,,,,
50.1,79.3,,,,
50.3,70.35,,,,
60.25,77.45,,,,
44.55,67.9,,,,
27,58.95,,,,
30.65,74.15,,,,
60.65,,,,,
39.975,69.5,,,,
81.9,,,,,
41.7,72.5,,,,
53.5,76.5,,,,
41.5,70.2,,,,
46.175,90,,,,
65.9,91.9,,,,
49.75,74.15,,,,
45.075,73.9,,,,
41.85,66,,,,
32.65,59,,,,
24.95,56.4,,,,
58.9,69.9,,,,
52.8,79.75,,,,
45.9,72.4,,,,
46.9,71.15,,,,
47.225,71.9,,,,
52.8,79,,,,
52.45,76,,,,
38,69,,,,
55.5,,,,,
58.8,,,,,
41.95,71.4,,,,
36.5,61.1,,,,
51.35,84,,,,
51.2,91.5,,,,
64.3,83.5,,,,
61.05,80.2,,,,
35,57.35,,,,
51.7,81.4,,,,
51.7,81.7,,,,
46.225,72.4,,,,
42.95,64.6,,,,
34.3,68.8,,,,
46.325,66.1,,,,
26.475,57.9,,,,
69.2,93,,,,
46.65,80.6,,,,
32.05,62.3,,,,
54.9,,,,,
43.275,67.35,,,,
48.375,74.8,,,,
59.85,85.3,,,,
39.6,67.5,,,,
52.5,75,,,,
34.65,64.1,,,,
58.5,95,,,,
55.45,75.85,,,,
39.9,62.2,,,,
60.3,94,,,,
69.3,90.3,,,,
86.05,115.1,,,,
51.9,74.5,,,,
42.9,63,,,,
44.9,70.75,,,,
41.675,63,,,,
83.8,93,,,,
49.45,64.5,,,,
48.7,71.4,,,,
48.2,65.05,,,,
34.425,60,,,,
77.25,99.7,,,,
63.9,88.05,,,,
42.55,67.1,,,,
40.55,68.15,,,,
46.725,76.2,,,,
65.2,83.5,,,,
26.45,54.5,,,,
63.1,82.3,,,,
57.4,78.2,,,,
30.75,56.9,,,,
63.09,88.8,,,,
28.95,58.6,,,,
71.45,83.8,,,,
70.85,,,,,
64.1,82.55,,,,
40.125,62.35,,,,
39.95,69.4,,,,
56,73.65,,,,
49.85,69,,,,
69.45,97.95,,,,
27.55,60.05,,,,
48.75,68.1,,,,
45.1,87.5,,,,
52.2,73.2,,,,
77.3,100.6,,,,
37.5,68.15,,,,
57.65,73.1,,,,
58.9,80.7,,,,
51.8,69.95,,,,
39.575,66.75,,,,
46.45,82.2,,,,
45.6,76.7,,,,
33.4,67,,,,
74.2,91,,,,
52.8,68.7,,,,
39.7,69.55,,,,
68.25,90.9,,,,
69.85,102,,,,
94,113,,,,
73.85,88.6,,,,
43.5,66.4,,,,
46.975,71.3,,,,
63.35,77.5,,,,
71,90,,,,
57.6,81.5,,,,
57.2,92,,,,
88,87.3,,,,
53.75,,,,,
65.65,85.25,,,,
79.8,114,,,,
37.85,61.2,,,,
44.775,65,,,,
56.8,82.4,,,,
82.7,111.9,,,,
50.6,69.3,,,,
51.725,73.05,,,,
63.5,81.6,,,,
61.3,81,,,,
53.4,84,,,,
54.1,68,,,,
57.2,,,,,
63.6,,,,,
39.4,70.45,,,,
65.95,83.55,,,,
65.65,84.85,,,,
52.95,82.65,,,,
43.475,69,,,,
49.05,65.5,,,,
65.15,83.7,,,,
62.45,83,,,,
55.8,,,,,
